name,站点类型,Lon,Lat,侧项类别,统计时间,更新时间,纬度,经度
八角测震台,无人值守,103,31,测震,2020年3月,48:10.0,,
列瓦测震台,无人值守,101,28,测震,2020年3月,48:10.0,,
务基测震台,无人值守,104,28,测震,2020年3月,48:10.0,,
博窝测震台,无人值守,101,29,测震,2020年3月,48:10.0,,
印把子测震台,无人值守,102,28,测震,2020年3月,48:10.0,,
反坡测震台,无人值守,103,30,测震,2020年3月,48:10.0,,
后坝村测震台,无人值守,104,29,测震,2020年3月,48:10.0,,
吞都测震台,无人值守,104,28,测震,2020年3月,48:10.0,,
响岩坝测震台,无人值守,105,32,测震,2020年3月,48:10.0,,
喇嘛寺测震台,无人值守,102,30,测震,2020年3月,48:10.0,,
四家寨测震台,无人值守,102,30,测震,2020年3月,48:10.0,,
团结测震台,无人值守,104,29,测震,2020年3月,48:10.0,,
土地垇测震台,无人值守,104,29,测震,2020年3月,48:10.0,,
大村子测震台,无人值守,102,27,测震,2020年3月,48:10.0,,
大桥测震台,无人值守,102,28,测震,2020年3月,48:10.0,,
大沱测震台,无人值守,102,28,测震,2020年3月,48:10.0,,
大盐池测震台,无人值守,102,28,测震,2020年3月,48:10.0,,
大窝背测震台,无人值守,104,29,测震,2020年3月,48:10.0,,
大金号测震台,无人值守,104,29,测震,2020年3月,48:10.0,,
天仙村测震台,无人值守,104,29,测震,2020年3月,48:10.0,,
学优测震台,无人值守,101,30,测震,2020年3月,48:10.0,,
安家湾测震台,无人值守,102,30,测震,2020年3月,48:10.0,,
官房测震台,无人值守,102,28,测震,2020年3月,48:10.0,,
宰牛坪测震台,无人值守,103,29,测震,2020年3月,48:10.0,,
对坪测震台,无人值守,103,27,测震,2020年3月,48:10.0,,
小务基测震台,无人值守,103,28,测震,2020年3月,48:10.0,,
小店子测震台,无人值守,103,30,测震,2020年3月,48:10.0,,
小马场测震台,无人值守,102,29,测震,2020年3月,48:10.0,,
山冲测震台,无人值守,103,29,测震,2020年3月,48:10.0,,
岚安测震台,无人值守,102,30,测震,2020年3月,48:10.0,,
岩峰寺测震台,无人值守,104,29,测震,2020年3月,48:10.0,,
巴郎沟测震台,无人值守,102,30,测震,2020年3月,48:10.0,,
庙子坪测震台,无人值守,104,31,测震,2020年3月,48:10.0,,
廖家山测震台,无人值守,102,27,测震,2020年3月,48:10.0,,
开绕测震台,无人值守,102,31,测震,2020年3月,48:10.0,,
张家道测震台,无人值守,105,32,测震,2020年3月,48:10.0,,
徐谷坪测震台,无人值守,103,29,测震,2020年3月,48:10.0,,
扁路岗测震台,无人值守,102,29,测震,2020年3月,48:10.0,,
折骆测震台,无人值守,102,31,测震,2020年3月,48:10.0,,
拉沙河测震台,无人值守,101,28,测震,2020年3月,48:10.0,,
新兴测震台,无人值守,102,30,测震,2020年3月,48:10.0,,
新发测震台,无人值守,102,27,测震,2020年3月,48:10.0,,
新寺上测震台,无人值守,103,30,测震,2020年3月,48:10.0,,
新桥测震台,无人值守,102,30,测震,2020年3月,48:10.0,,
新民测震台,无人值守,102,29,测震,2020年3月,48:10.0,,
春江测震台,无人值守,103,27,测震,2020年3月,48:10.0,,
普巴绒测震台,无人值守,101,30,测震,2020年3月,48:10.0,,
木府测震台,无人值守,103,28,测震,2020年3月,48:10.0,,
木落脚测震台,无人值守,102,28,测震,2020年3月,48:10.0,,
木角测震台,无人值守,102,30,测震,2020年3月,48:10.0,,
李子坪测震台,无人值守,103,28,测震,2020年3月,48:10.0,,
林帮测震台,无人值守,102,31,测震,2020年3月,48:10.0,,
桂花树测震台,无人值守,104,31,测震,2020年3月,48:10.0,,
梭坡测震台,无人值守,102,31,测震,2020年3月,48:10.0,,
棉垭测震台,无人值守,101,28,测震,2020年3月,48:10.0,,
棉布垭测震台,无人值守,101,28,测震,2020年3月,48:10.0,,
水井湾测震台,无人值守,104,28,测震,2020年3月,48:10.0,,
永盛测震台,无人值守,104,28,测震,2020年3月,48:10.0,,
江达测震台,无人值守,102,31,测震,2020年3月,48:10.0,,
汶水测震台,无人值守,104,28,测震,2020年3月,48:10.0,,
河坝测震台,无人值守,102,31,测震,2020年3月,48:10.0,,
洛觉测震台,无人值守,103,28,测震,2020年3月,48:10.0,,
润坝村测震台,无人值守,104,29,测震,2020年3月,48:10.0,,
潘安测震台,无人值守,102,31,测震,2020年3月,48:10.0,,
火草坪测震台,无人值守,102,30,测震,2020年3月,48:10.0,,
灯草坪测震台,无人值守,102,27,测震,2020年3月,48:10.0,,
灵岩寺测震台,无人值守,104,31,测震,2020年3月,48:10.0,,
炎山测震台,无人值守,103,28,测震,2020年3月,48:10.0,,
难田湾测震台,无人值守,102,30,测震,2020年3月,48:10.0,,
片马测震台,无人值守,103,29,测震,2020年3月,48:10.0,,
牦牛山测震台,无人值守,101,28,测震,2020年3月,48:10.0,,
猫头山测震台,无人值守,102,27,测震,2020年3月,48:10.0,,
瓦子测震台,无人值守,101,30,测震,2020年3月,48:10.0,,
甘家沟测震台,无人值守,102,28,测震,2020年3月,48:10.0,,
田坝测震台,无人值守,103,27,测震,2020年3月,48:10.0,,
田根测震台,无人值守,101,29,测震,2020年3月,48:10.0,,
白乌测震台,无人值守,101,28,测震,2020年3月,48:10.0,,
白岩岗测震台,无人值守,103,29,测震,2020年3月,48:10.0,,
白岩测震台,无人值守,103,31,测震,2020年3月,48:10.0,,
白沙测震台,无人值守,104,28,测震,2020年3月,48:10.0,,
白碉测震台,无人值守,101,28,测震,2020年3月,48:10.0,,
白胜测震台,无人值守,104,28,测震,2020年3月,48:10.0,,
白马测震台,无人值守,102,28,测震,2020年3月,48:10.0,,
石垭子测震台,无人值守,105,32,测震,2020年3月,48:10.0,,
石城山测震台,无人值守,104,29,测震,2020年3月,48:10.0,,
码口测震台,无人值守,103,28,测震,2020年3月,48:10.0,,
